Name	Protein
Niben261Chr08g0278002.1	Phenyl_668
Niben261Chr17g1507004.1	Phenyl_669
Niben261Chr05g0633005.1	Phenyl_672
Niben261Chr02g0652006.1	Phenyl_673
Niben261Chr02g0650001.1	Phenyl_674
Niben261Chr17g1507001.1	Phenyl_676
Niben261Chr08g0700019.1	Phenyl_678
Niben261Chr06g0253011.1	Phenyl_680
Niben261Chr16g0178005.1	Phenyl_682
Niben261Chr03g0453001.1	Phenyl_683
Niben261Chr04g0059012.1	Phenyl_685
Niben261Chr03g1511030.1	Phenyl_692
Niben261Chr01g1340011.1	Phenyl_693
Niben261Chr12g0257004.1	Phenyl_697
Niben261Chr18g1459001.1	Phenyl_699
Niben261Chr06g0725007.1	Phenyl_701
Niben261Chr14g1264002.1	Phenyl_702
Niben261Chr08g0385005.1	Phenyl_703
Niben261Chr14g1262002.1	Phenyl_704
Niben261Chr12g1210007.1	Phenyl_705
Niben261Chr04g1627009.1	Phenyl_706
Niben261Chr12g0041009.1	Phenyl_711
Niben261Chr07g1300009.1	Phenyl_712
Niben261Chr03g1315009.1	Phenyl_715
Niben261Chr02g0778001.1	Phenyl_718
