Name	Protein
Niben261Chr07g0800006.1	TCArel_361
Niben261Chr15g1244006.1	TCArel_362
Niben261Chr09g1343008.1	TCArel_363
Niben261Chr10g0479016.1	TCArel_364
Niben261Chr01g1777003.1	TCArel_365
Niben261Chr19g1459018.1	TCArel_366
Niben261Chr16g0033004.1	TCArel_367
Niben261Chr13g0029021.1	TCArel_368
Niben261Chr07g1072002.1	TCArel_369
Niben261Chr01g1387006.1	TCArel_370
Niben261Chr01g0501010.1	TCArel_371
Niben261Chr14g0174005.1	TCArel_373
Niben261Chr04g1764009.1	TCArel_374
Niben261Chr11g0216015.1	TCArel_375
Niben261Chr19g0321003.1	TCArel_376
Niben261Chr08g0014025.1	TCArel_379
Niben261Chr16g1452004.1	TCArel_380
Niben261Chr17g0018026.1	TCArel_381
Niben261Chr03g0297008.1	TCArel_382
Niben261Chr09g1217003.1	TCArel_383
Niben261Chr09g1218006.1	TCArel_384
Niben261Chr09g1218007.1	TCArel_385
Niben261Chr02g0531001.1	TCArel_386
Niben261Chr10g0264008.1	TCArel_387
Niben261Chr15g1062004.1	TCArel_388
Niben261Chr16g0066003.1	TCArel_389
Niben261Chr07g1103008.1	TCArel_390
Niben261Chr13g0626015.1	TCArel_393
Niben261Chr04g1611007.1	TCArel_394
Niben261Chr04g0042004.1	TCArel_395
Niben261Chr17g1379018.1	TCArel_396
Niben261Chr02g1139014.1	TCArel_397
Niben261Chr09g1354023.1	TCArel_398
Niben261Chr10g0462019.1	TCArel_399
Niben261Chr13g0025006.1	TCArel_400
Niben261Chr11g1362019.1	TCArel_401
Niben261Chr05g0642004.1	TCArel_402
Niben261Chr07g0775006.1	TCArel_403
Niben261Chr15g1456002.1	TCArel_404
Niben261Chr05g0613001.1	TCArel_406
Niben261Chr11g1382014.1	TCArel_407
Niben261Chr14g1034011.1	TCArel_408
Niben261Chr02g1329007.1	TCArel_409
Niben261Chr06g1206003.1	TCArel_410
Niben261Chr19g0675008.1	TCArel_411
Niben261Chr08g0554020.1	TCArel_412
Niben261Chr03g1555004.1	TCArel_413
Niben261Chr07g0283015.1	TCArel_414
Niben261Chr06g0941002.1	TCArel_416
Niben261Chr11g1382013.1	TCArel_417
Niben261Chr09g0672022.1	TCArel_419
Niben261Chr06g1422001.1	TCArel_420
Niben261Chr18g0116004.1	TCArel_421
Niben261Chr14g1008002.1	TCArel_422
Niben261Chr03g1525001.1	TCArel_423
Niben261Chr10g0645001.1	TCArel_424
Niben261Chr01g1730011.1	TCArel_425
Niben261Chr05g1258001.1	TCArel_426
